"location","excess_deaths","Week.Ending.Date"
"Alabama",0,"2020-01-04"
"Alabama",0,"2020-01-11"
"Alabama",0,"2020-01-18"
"Alabama",0,"2020-01-25"
"Alabama",1,"2020-02-01"
"Alabama",0,"2020-02-08"
"Alabama",6,"2020-02-15"
"Alabama",0,"2020-02-22"
"Alabama",3,"2020-02-29"
"Alabama",9,"2020-03-07"
"Alabama",4,"2020-03-14"
"Alabama",3,"2020-03-21"
"Alabama",4,"2020-03-28"
"Alabama",4,"2020-04-04"
"Alabama",0,"2020-04-11"
"Alabama",0,"2020-04-18"
"Alabama",7,"2020-04-25"
"Alabama",8,"2020-05-02"
"Alabama",0,"2020-05-09"
"Alabama",0,"2020-05-16"
"Alabama",0,"2020-05-23"
"Alabama",5,"2020-05-30"
"Alabama",3,"2020-06-06"
"Alabama",0,"2020-06-13"
"Alabama",0,"2020-06-20"
"Alabama",0,"2020-06-27"
"Alabama",0,"2020-07-04"
"Alabama",0,"2020-07-11"
"Alabama",5,"2020-07-18"
"Alabama",0,"2020-07-25"
"Alabama",7,"2020-08-01"
"Alabama",4,"2020-08-08"
"Alabama",5,"2020-08-15"
"Alabama",1,"2020-08-22"
"Alabama",0,"2020-08-29"
"Alabama",0,"2020-09-05"
"Alabama",0,"2020-09-12"
"Alabama",2,"2020-09-19"
"Alabama",0,"2020-09-26"
"Alabama",7,"2020-10-03"
"Alabama",0,"2020-10-10"
"Arizona",0,"2020-01-04"
"Arizona",0,"2020-01-11"
"Arizona",0,"2020-01-18"
"Arizona",2,"2020-01-25"
"Arizona",5,"2020-02-01"
"Arizona",2,"2020-02-08"
"Arizona",5,"2020-02-15"
"Arizona",1,"2020-02-22"
"Arizona",5,"2020-02-29"
"Arizona",0,"2020-03-07"
"Arizona",7,"2020-03-14"
"Arizona",13,"2020-03-21"
"Arizona",13,"2020-03-28"
"Arizona",5,"2020-04-04"
"Arizona",8,"2020-04-11"
"Arizona",3,"2020-04-18"
"Arizona",0,"2020-04-25"
"Arizona",8,"2020-05-02"
"Arizona",3,"2020-05-09"
"Arizona",1,"2020-05-16"
"Arizona",1,"2020-05-23"
"Arizona",4,"2020-05-30"
"Arizona",3,"2020-06-06"
"Arizona",2,"2020-06-13"
"Arizona",0,"2020-06-20"
"Arizona",5,"2020-06-27"
"Arizona",11,"2020-07-04"
"Arizona",24,"2020-07-11"
"Arizona",12,"2020-07-18"
"Arizona",3,"2020-07-25"
"Arizona",18,"2020-08-01"
"Arizona",5,"2020-08-08"
"Arizona",8,"2020-08-15"
"Arizona",1,"2020-08-22"
"Arizona",0,"2020-08-29"
"Arizona",0,"2020-09-05"
"Arizona",1,"2020-09-12"
"Arizona",2,"2020-09-19"
"Arizona",0,"2020-09-26"
"Arizona",6,"2020-10-03"
"Arkansas",0,"2020-01-04"
"Arkansas",0,"2020-01-11"
"Arkansas",3,"2020-01-18"
"Arkansas",0,"2020-01-25"
"Arkansas",0,"2020-02-01"
"Arkansas",0,"2020-02-08"
"Arkansas",0,"2020-02-15"
"Arkansas",0,"2020-02-22"
"Arkansas",7,"2020-03-07"
"Arkansas",0,"2020-03-14"
"Arkansas",4,"2020-03-21"
"Arkansas",0,"2020-03-28"
"Arkansas",2,"2020-04-04"
"Arkansas",5,"2020-04-11"
"Arkansas",2,"2020-04-25"
"Arkansas",1,"2020-05-16"
"Arkansas",0,"2020-06-13"
"Arkansas",1,"2020-06-27"
"Arkansas",1,"2020-07-18"
"Arkansas",0,"2020-08-01"
"Arkansas",1,"2020-08-08"
