,Location,Sunday,Virology_adj,IDEA_adj,Hist_adj,Virology,IDEA,Hist,covid_scale_adj,covid_scale,mMAP_adj,mMAP_unadj,Infectious AR mean,Infectious AR median,Infectious AR 2.5% Quantile,Infectious AR 97.5% Quantile,cases
0,Alabama,2020-03-01,,,,13280.0,3923.0,1447.0,0.0,0.0,1456.63554808249,568.754412439834,,,,,0.0
1,Alabama,2020-03-08,,,,16306.0,9278.0,3887.0,19371.089065416283,25110.6710107248,2503.59390071554,1091.1863603798,235.2,168.6,84.0,541.8,12.0
2,Alabama,2020-03-15,18763.0,3666.0,,40280.0,25183.0,19872.0,6486.8168058347665,8408.836600156179,3974.10878140887,1831.05183361565,1657.8,1339.8,814.1999999999999,3235.8,119.0
3,Alabama,2020-03-22,4398.0,,,19444.0,4520.0,,9792.657560157497,12694.185726130083,5234.056255366289,2476.96357436874,4305.599999999999,3983.4000000000005,2826.6,6681.0,589.0
4,Alabama,2020-03-29,,,,1186.0,,,6342.839946847002,8222.199931097965,6131.238368762691,2897.3710397065697,7718.400000000001,8074.8,6450.6,9484.799999999997,912.0
5,Alabama,2020-04-05,,,,,,,4856.1358608588835,6294.990930742995,6936.00391987367,3229.06888904495,8434.8,8550.6,6806.999999999998,9646.8,1630.0
6,Alabama,2020-04-12,,,,,,,2338.001144525533,3030.742224384949,7522.56910081795,3523.92578618854,8235.0,8146.799999999999,7063.800000000003,9228.0,1461.0
7,Alabama,2020-04-19,,,,,,,1089.4619781926383,1412.2655272867535,7916.121890693001,3810.50504985438,8013.600000000002,7875.0,6594.5999999999985,8767.800000000003,1490.0
8,Alabama,2020-04-26,,,,,,,946.2389408420385,1226.606034424865,7598.180564855601,3699.2680488696997,7727.399999999994,7544.4000000000015,6629.999999999996,8452.199999999997,1398.0
9,Alabama,2020-05-03,,,,,,,823.9502656616513,1068.0836777095476,6751.5472096126,3254.87286199145,7407.600000000006,7272.5999999999985,6791.4000000000015,7900.199999999997,2057.0
10,Alabama,2020-05-10,,,,,,,734.0983568297987,951.6089810756649,6665.93488007922,3180.14799302263,7073.999999999993,6757.799999999996,6286.200000000004,7767.600000000006,2006.0
11,Alaska,2020-03-01,,,,,,,0.0,0.0,92.03440436013109,45.319971844003895,,,,,0.0
12,Alaska,2020-03-08,,,,,,,76.21597885351763,98.79849110641176,157.38416817363301,77.499779782471,1.7999999999999998,1.2,0.0,7.199999999999999,1.0
13,Alaska,2020-03-15,,,,,,,239.51757681203927,310.4857477193101,212.65433346780702,104.716149056117,12.599999999999998,12.6,1.2,42.0,20.0
14,Alaska,2020-03-22,,,,,,,313.76528608237635,406.73277825493227,197.867322405324,97.4346663359548,37.8,42.0,7.8,105.0,81.0
15,Alaska,2020-03-29,,,,,,,169.89024437039956,220.2280945542216,121.57781120895099,59.8678615801651,49.199999999999996,55.2,13.2,117.0,67.0
16,Alaska,2020-04-05,,,,,,,244.4110110123941,316.8290883493997,41.9645854928295,20.664379219954,50.39999999999999,55.19999999999999,17.400000000000002,98.39999999999998,86.0
17,Alaska,2020-04-12,,,,,,,279.73375116415485,362.6178255831636,29.7592974204301,14.654199487332999,51.60000000000002,55.20000000000002,22.199999999999996,87.60000000000002,57.0
18,Alaska,2020-04-19,,,,,,,31.601441252099928,40.964831252722135,43.510802636529796,21.425774025564,53.99999999999997,55.19999999999996,24.0,81.59999999999997,25.0
19,Alaska,2020-04-26,,,,,,,12.229632919746999,15.853227858931293,31.633897513142198,15.5772980178351,55.19999999999999,54.0,27.599999999999994,76.80000000000007,26.0
20,Alaska,2020-05-03,,,,,,,8.106883651023379,10.5089232513266,20.618996025823396,10.153293497564599,57.0,53.400000000000034,25.200000000000003,81.0,14.0
21,Alaska,2020-05-10,,,,,,,6.257341070149622,8.11136805389766,42.198165840791,20.7793998458441,60.0,54.0,25.80000000000001,84.59999999999991,15.0
22,Arizona,2020-03-01,,,,,,,6635.848966400554,8602.026437926643,2314.50151311323,303.93700085465304,,,,,4.0
23,Arizona,2020-03-08,,,,,,,5470.302500167042,7091.1328705869055,3467.4613494318396,908.643480229368,288.59999999999997,228.6,74.39999999999999,619.8,7.0
24,Arizona,2020-03-15,3431.0,,,21474.0,13449.0,13561.0,15130.773303019543,19613.965392803108,4900.8471317643,1944.48063718645,1812.6,1465.8,576.0,3519.5999999999995,92.0
25,Arizona,2020-03-22,,,,10208.0,2683.0,4268.0,4144.295635971311,5372.235083666512,6448.85766759198,2999.7821731119607,4465.8,3627.6000000000004,1754.3999999999996,7914.0,669.0
26,Arizona,2020-03-29,,,,10847.0,5090.0,6777.0,4236.761945267092,5492.098817938822,7763.5372684619,3698.67637829624,8205.599999999999,6759.0,3736.7999999999997,13690.800000000001,1246.0
27,Arizona,2020-04-05,,,,,,,4136.03553683707,5361.527547751757,9071.63546932385,4390.243598390971,9001.8,7643.399999999998,4565.400000000001,14021.999999999996,1374.0
